dataset,model,fold,subject,cheat_thr
MASS-SS2-E1SS,v2_time,0,2,0.44
MASS-SS2-E1SS,v2_time,0,9,0.28
MASS-SS2-E1SS,v2_time,0,11,0.64
MASS-SS2-E1SS,v2_time,1,6,0.46
MASS-SS2-E1SS,v2_time,1,12,0.56
MASS-SS2-E1SS,v2_time,1,19,0.72
MASS-SS2-E1SS,v2_time,2,3,0.36
MASS-SS2-E1SS,v2_time,2,13,0.70
MASS-SS2-E1SS,v2_time,2,18,0.48
MASS-SS2-E1SS,v2_time,3,5,0.50
MASS-SS2-E1SS,v2_time,3,10,0.64
MASS-SS2-E1SS,v2_time,3,14,0.90
MASS-SS2-E1SS,v2_time,4,1,0.42
MASS-SS2-E1SS,v2_time,4,7,0.42
MASS-SS2-E1SS,v2_time,4,17,0.52
MASS-SS2-E1SS,v2_time,5,5,0.42
MASS-SS2-E1SS,v2_time,5,9,0.36
MASS-SS2-E1SS,v2_time,5,10,0.54
MASS-SS2-E1SS,v2_time,6,3,0.46
MASS-SS2-E1SS,v2_time,6,6,0.52
MASS-SS2-E1SS,v2_time,6,13,0.66
MASS-SS2-E1SS,v2_time,7,1,0.40
MASS-SS2-E1SS,v2_time,7,2,0.46
MASS-SS2-E1SS,v2_time,7,18,0.40
MASS-SS2-E1SS,v2_time,8,11,0.52
MASS-SS2-E1SS,v2_time,8,12,0.58
MASS-SS2-E1SS,v2_time,8,19,0.68
MASS-SS2-E1SS,v2_time,9,7,0.54
MASS-SS2-E1SS,v2_time,9,14,0.88
MASS-SS2-E1SS,v2_time,9,17,0.56
MASS-SS2-E1SS,v2_time,10,6,0.42
MASS-SS2-E1SS,v2_time,10,7,0.56
MASS-SS2-E1SS,v2_time,10,14,0.86
MASS-SS2-E1SS,v2_time,11,1,0.38
MASS-SS2-E1SS,v2_time,11,5,0.32
MASS-SS2-E1SS,v2_time,11,12,0.54
MASS-SS2-E1SS,v2_time,12,2,0.48
MASS-SS2-E1SS,v2_time,12,10,0.56
MASS-SS2-E1SS,v2_time,12,13,0.64
MASS-SS2-E1SS,v2_time,13,3,0.62
MASS-SS2-E1SS,v2_time,13,9,0.40
MASS-SS2-E1SS,v2_time,13,17,0.64
MASS-SS2-E1SS,v2_time,14,11,0.62
MASS-SS2-E1SS,v2_time,14,18,0.32
MASS-SS2-E1SS,v2_time,14,19,0.68
MASS-SS2-E1SS,v2_cwt1d,0,2,0.42
MASS-SS2-E1SS,v2_cwt1d,0,9,0.38
MASS-SS2-E1SS,v2_cwt1d,0,11,0.56
MASS-SS2-E1SS,v2_cwt1d,1,6,0.52
MASS-SS2-E1SS,v2_cwt1d,1,12,0.50
MASS-SS2-E1SS,v2_cwt1d,1,19,0.76
MASS-SS2-E1SS,v2_cwt1d,2,3,0.44
MASS-SS2-E1SS,v2_cwt1d,2,13,0.66
MASS-SS2-E1SS,v2_cwt1d,2,18,0.46
MASS-SS2-E1SS,v2_cwt1d,3,5,0.46
MASS-SS2-E1SS,v2_cwt1d,3,10,0.72
MASS-SS2-E1SS,v2_cwt1d,3,14,0.86
MASS-SS2-E1SS,v2_cwt1d,4,1,0.44
MASS-SS2-E1SS,v2_cwt1d,4,7,0.48
MASS-SS2-E1SS,v2_cwt1d,4,17,0.56
MASS-SS2-E1SS,v2_cwt1d,5,5,0.34
MASS-SS2-E1SS,v2_cwt1d,5,9,0.38
MASS-SS2-E1SS,v2_cwt1d,5,10,0.56
MASS-SS2-E1SS,v2_cwt1d,6,3,0.54
MASS-SS2-E1SS,v2_cwt1d,6,6,0.60
MASS-SS2-E1SS,v2_cwt1d,6,13,0.76
MASS-SS2-E1SS,v2_cwt1d,7,1,0.34
MASS-SS2-E1SS,v2_cwt1d,7,2,0.30
MASS-SS2-E1SS,v2_cwt1d,7,18,0.34
MASS-SS2-E1SS,v2_cwt1d,8,11,0.60
MASS-SS2-E1SS,v2_cwt1d,8,12,0.64
MASS-SS2-E1SS,v2_cwt1d,8,19,0.58
MASS-SS2-E1SS,v2_cwt1d,9,7,0.56
MASS-SS2-E1SS,v2_cwt1d,9,14,0.88
MASS-SS2-E1SS,v2_cwt1d,9,17,0.66
MASS-SS2-E1SS,v2_cwt1d,10,6,0.50
MASS-SS2-E1SS,v2_cwt1d,10,7,0.58
MASS-SS2-E1SS,v2_cwt1d,10,14,0.84
MASS-SS2-E1SS,v2_cwt1d,11,1,0.32
MASS-SS2-E1SS,v2_cwt1d,11,5,0.30
MASS-SS2-E1SS,v2_cwt1d,11,12,0.66
MASS-SS2-E1SS,v2_cwt1d,12,2,0.48
MASS-SS2-E1SS,v2_cwt1d,12,10,0.58
MASS-SS2-E1SS,v2_cwt1d,12,13,0.60
MASS-SS2-E1SS,v2_cwt1d,13,3,0.56
MASS-SS2-E1SS,v2_cwt1d,13,9,0.40
MASS-SS2-E1SS,v2_cwt1d,13,17,0.60
MASS-SS2-E1SS,v2_cwt1d,14,11,0.72
MASS-SS2-E1SS,v2_cwt1d,14,18,0.36
MASS-SS2-E1SS,v2_cwt1d,14,19,0.68
MASS-SS2-E2SS,v2_time,0,2,0.48
MASS-SS2-E2SS,v2_time,0,9,0.44
MASS-SS2-E2SS,v2_time,0,11,0.56
MASS-SS2-E2SS,v2_time,1,6,0.42
MASS-SS2-E2SS,v2_time,1,12,0.62
MASS-SS2-E2SS,v2_time,1,19,0.62
MASS-SS2-E2SS,v2_time,2,3,0.46
MASS-SS2-E2SS,v2_time,2,13,0.62
MASS-SS2-E2SS,v2_time,2,18,0.82
MASS-SS2-E2SS,v2_time,3,5,0.50
MASS-SS2-E2SS,v2_time,3,10,0.40
MASS-SS2-E2SS,v2_time,3,14,0.68
MASS-SS2-E2SS,v2_time,4,1,0.36
MASS-SS2-E2SS,v2_time,4,7,0.46
MASS-SS2-E2SS,v2_time,4,17,0.52
MASS-SS2-E2SS,v2_time,5,5,0.60
MASS-SS2-E2SS,v2_time,5,9,0.56
MASS-SS2-E2SS,v2_time,5,10,0.48
MASS-SS2-E2SS,v2_time,6,3,0.40
MASS-SS2-E2SS,v2_time,6,6,0.40
MASS-SS2-E2SS,v2_time,6,13,0.58
MASS-SS2-E2SS,v2_time,7,1,0.32
MASS-SS2-E2SS,v2_time,7,2,0.44
MASS-SS2-E2SS,v2_time,7,18,0.84
MASS-SS2-E2SS,v2_time,8,11,0.70
MASS-SS2-E2SS,v2_time,8,12,0.48
MASS-SS2-E2SS,v2_time,8,19,0.66
MASS-SS2-E2SS,v2_time,9,7,0.38
MASS-SS2-E2SS,v2_time,9,14,0.68
MASS-SS2-E2SS,v2_time,9,17,0.58
MASS-SS2-E2SS,v2_time,10,6,0.50
MASS-SS2-E2SS,v2_time,10,7,0.40
MASS-SS2-E2SS,v2_time,10,14,0.64
MASS-SS2-E2SS,v2_time,11,1,0.38
MASS-SS2-E2SS,v2_time,11,5,0.54
MASS-SS2-E2SS,v2_time,11,12,0.66
MASS-SS2-E2SS,v2_time,12,2,0.60
MASS-SS2-E2SS,v2_time,12,10,0.46
MASS-SS2-E2SS,v2_time,12,13,0.54
MASS-SS2-E2SS,v2_time,13,3,0.44
MASS-SS2-E2SS,v2_time,13,9,0.42
MASS-SS2-E2SS,v2_time,13,17,0.50
MASS-SS2-E2SS,v2_time,14,11,0.76
MASS-SS2-E2SS,v2_time,14,18,0.82
MASS-SS2-E2SS,v2_time,14,19,0.66
MASS-SS2-E2SS,v2_cwt1d,0,2,0.56
MASS-SS2-E2SS,v2_cwt1d,0,9,0.52
MASS-SS2-E2SS,v2_cwt1d,0,11,0.66
MASS-SS2-E2SS,v2_cwt1d,1,6,0.40
MASS-SS2-E2SS,v2_cwt1d,1,12,0.62
MASS-SS2-E2SS,v2_cwt1d,1,19,0.58
MASS-SS2-E2SS,v2_cwt1d,2,3,0.40
MASS-SS2-E2SS,v2_cwt1d,2,13,0.60
MASS-SS2-E2SS,v2_cwt1d,2,18,0.82
MASS-SS2-E2SS,v2_cwt1d,3,5,0.56
MASS-SS2-E2SS,v2_cwt1d,3,10,0.48
MASS-SS2-E2SS,v2_cwt1d,3,14,0.76
MASS-SS2-E2SS,v2_cwt1d,4,1,0.38
MASS-SS2-E2SS,v2_cwt1d,4,7,0.44
MASS-SS2-E2SS,v2_cwt1d,4,17,0.52
MASS-SS2-E2SS,v2_cwt1d,5,5,0.52
MASS-SS2-E2SS,v2_cwt1d,5,9,0.48
MASS-SS2-E2SS,v2_cwt1d,5,10,0.44
MASS-SS2-E2SS,v2_cwt1d,6,3,0.56
MASS-SS2-E2SS,v2_cwt1d,6,6,0.38
MASS-SS2-E2SS,v2_cwt1d,6,13,0.62
MASS-SS2-E2SS,v2_cwt1d,7,1,0.32
MASS-SS2-E2SS,v2_cwt1d,7,2,0.52
MASS-SS2-E2SS,v2_cwt1d,7,18,0.80
MASS-SS2-E2SS,v2_cwt1d,8,11,0.62
MASS-SS2-E2SS,v2_cwt1d,8,12,0.54
MASS-SS2-E2SS,v2_cwt1d,8,19,0.68
MASS-SS2-E2SS,v2_cwt1d,9,7,0.42
MASS-SS2-E2SS,v2_cwt1d,9,14,0.70
MASS-SS2-E2SS,v2_cwt1d,9,17,0.60
MASS-SS2-E2SS,v2_cwt1d,10,6,0.48
MASS-SS2-E2SS,v2_cwt1d,10,7,0.46
MASS-SS2-E2SS,v2_cwt1d,10,14,0.64
MASS-SS2-E2SS,v2_cwt1d,11,1,0.34
MASS-SS2-E2SS,v2_cwt1d,11,5,0.50
MASS-SS2-E2SS,v2_cwt1d,11,12,0.68
MASS-SS2-E2SS,v2_cwt1d,12,2,0.50
MASS-SS2-E2SS,v2_cwt1d,12,10,0.36
MASS-SS2-E2SS,v2_cwt1d,12,13,0.46
MASS-SS2-E2SS,v2_cwt1d,13,3,0.42
MASS-SS2-E2SS,v2_cwt1d,13,9,0.40
MASS-SS2-E2SS,v2_cwt1d,13,17,0.48
MASS-SS2-E2SS,v2_cwt1d,14,11,0.82
MASS-SS2-E2SS,v2_cwt1d,14,18,0.84
MASS-SS2-E2SS,v2_cwt1d,14,19,0.66
MASS-MODA,v2_time,0,01-01-0007,0.48
MASS-MODA,v2_time,0,01-01-0013,0.26
MASS-MODA,v2_time,0,01-01-0016,0.62
MASS-MODA,v2_time,0,01-05-0003,0.74
MASS-MODA,v2_time,0,01-05-0008,0.58
MASS-MODA,v2_time,0,01-05-0010,0.72
MASS-MODA,v2_time,1,01-01-0011,0.30
MASS-MODA,v2_time,1,01-01-0017,0.30
MASS-MODA,v2_time,1,01-05-0006,0.80
MASS-MODA,v2_time,1,01-05-0011,0.62
MASS-MODA,v2_time,1,01-05-0017,0.62
MASS-MODA,v2_time,2,01-01-0008,0.54
MASS-MODA,v2_time,2,01-01-0018,0.54
MASS-MODA,v2_time,2,01-01-0021,0.22
MASS-MODA,v2_time,2,01-05-0004,0.40
MASS-MODA,v2_time,2,01-05-0012,0.74
MASS-MODA,v2_time,2,01-05-0015,0.84
MASS-MODA,v2_time,3,01-01-0010,0.38
MASS-MODA,v2_time,3,01-01-0014,0.40
MASS-MODA,v2_time,3,01-01-0019,0.46
MASS-MODA,v2_time,3,01-05-0005,0.72
MASS-MODA,v2_time,3,01-05-0009,0.46
MASS-MODA,v2_time,3,01-05-0013,0.60
MASS-MODA,v2_time,4,01-01-0001,0.32
MASS-MODA,v2_time,4,01-01-0020,0.58
MASS-MODA,v2_time,4,01-05-0001,0.54
MASS-MODA,v2_time,4,01-05-0007,0.72
MASS-MODA,v2_time,4,01-05-0014,0.44
MASS-MODA,v2_time,5,01-01-0010,0.46
MASS-MODA,v2_time,5,01-01-0013,0.10
MASS-MODA,v2_time,5,01-01-0014,0.28
MASS-MODA,v2_time,5,01-05-0005,0.62
MASS-MODA,v2_time,5,01-05-0008,0.60
MASS-MODA,v2_time,5,01-05-0009,0.56
MASS-MODA,v2_time,6,01-01-0008,0.56
MASS-MODA,v2_time,6,01-01-0011,0.34
MASS-MODA,v2_time,6,01-01-0018,0.56
MASS-MODA,v2_time,6,01-05-0004,0.44
MASS-MODA,v2_time,6,01-05-0006,0.64
MASS-MODA,v2_time,6,01-05-0012,0.54
MASS-MODA,v2_time,7,01-01-0001,0.28
MASS-MODA,v2_time,7,01-01-0007,0.34
MASS-MODA,v2_time,7,01-01-0021,0.40
MASS-MODA,v2_time,7,01-05-0001,0.46
MASS-MODA,v2_time,7,01-05-0003,0.68
MASS-MODA,v2_time,7,01-05-0015,0.82
MASS-MODA,v2_time,8,01-01-0016,0.48
MASS-MODA,v2_time,8,01-01-0017,0.46
MASS-MODA,v2_time,8,01-05-0010,0.54
MASS-MODA,v2_time,8,01-05-0011,0.52
MASS-MODA,v2_time,8,01-05-0017,0.54
MASS-MODA,v2_time,9,01-01-0019,0.48
MASS-MODA,v2_time,9,01-01-0020,0.46
MASS-MODA,v2_time,9,01-05-0007,0.64
MASS-MODA,v2_time,9,01-05-0013,0.68
MASS-MODA,v2_time,9,01-05-0014,0.38
MASS-MODA,v2_time,10,01-01-0011,0.44
MASS-MODA,v2_time,10,01-01-0019,0.56
MASS-MODA,v2_time,10,01-05-0006,0.72
MASS-MODA,v2_time,10,01-05-0007,0.66
MASS-MODA,v2_time,10,01-05-0013,0.74
MASS-MODA,v2_time,11,01-01-0001,0.36
MASS-MODA,v2_time,11,01-01-0010,0.50
MASS-MODA,v2_time,11,01-01-0017,0.60
MASS-MODA,v2_time,11,01-05-0001,0.54
MASS-MODA,v2_time,11,01-05-0005,0.84
MASS-MODA,v2_time,11,01-05-0011,0.62
MASS-MODA,v2_time,12,01-01-0007,0.44
MASS-MODA,v2_time,12,01-01-0014,0.48
MASS-MODA,v2_time,12,01-01-0018,0.32
MASS-MODA,v2_time,12,01-05-0003,0.76
MASS-MODA,v2_time,12,01-05-0009,0.62
MASS-MODA,v2_time,12,01-05-0012,0.60
MASS-MODA,v2_time,13,01-01-0008,0.48
MASS-MODA,v2_time,13,01-01-0013,0.42
MASS-MODA,v2_time,13,01-01-0020,0.46
MASS-MODA,v2_time,13,01-05-0004,0.42
MASS-MODA,v2_time,13,01-05-0008,0.64
MASS-MODA,v2_time,13,01-05-0014,0.34
MASS-MODA,v2_time,14,01-01-0016,0.44
MASS-MODA,v2_time,14,01-01-0021,0.18
MASS-MODA,v2_time,14,01-05-0010,0.48
MASS-MODA,v2_time,14,01-05-0015,0.72
MASS-MODA,v2_time,14,01-05-0017,0.52
MASS-MODA,v2_cwt1d,0,01-01-0007,0.50
MASS-MODA,v2_cwt1d,0,01-01-0013,0.20
MASS-MODA,v2_cwt1d,0,01-01-0016,0.70
MASS-MODA,v2_cwt1d,0,01-05-0003,0.54
MASS-MODA,v2_cwt1d,0,01-05-0008,0.74
MASS-MODA,v2_cwt1d,0,01-05-0010,0.66
MASS-MODA,v2_cwt1d,1,01-01-0011,0.48
MASS-MODA,v2_cwt1d,1,01-01-0017,0.26
MASS-MODA,v2_cwt1d,1,01-05-0006,0.76
MASS-MODA,v2_cwt1d,1,01-05-0011,0.70
MASS-MODA,v2_cwt1d,1,01-05-0017,0.58
MASS-MODA,v2_cwt1d,2,01-01-0008,0.58
MASS-MODA,v2_cwt1d,2,01-01-0018,0.42
MASS-MODA,v2_cwt1d,2,01-01-0021,0.54
MASS-MODA,v2_cwt1d,2,01-05-0004,0.48
MASS-MODA,v2_cwt1d,2,01-05-0012,0.60
MASS-MODA,v2_cwt1d,2,01-05-0015,0.78
MASS-MODA,v2_cwt1d,3,01-01-0010,0.50
MASS-MODA,v2_cwt1d,3,01-01-0014,0.38
MASS-MODA,v2_cwt1d,3,01-01-0019,0.56
MASS-MODA,v2_cwt1d,3,01-05-0005,0.54
MASS-MODA,v2_cwt1d,3,01-05-0009,0.58
MASS-MODA,v2_cwt1d,3,01-05-0013,0.62
MASS-MODA,v2_cwt1d,4,01-01-0001,0.36
MASS-MODA,v2_cwt1d,4,01-01-0020,0.32
MASS-MODA,v2_cwt1d,4,01-05-0001,0.52
MASS-MODA,v2_cwt1d,4,01-05-0007,0.66
MASS-MODA,v2_cwt1d,4,01-05-0014,0.44
MASS-MODA,v2_cwt1d,5,01-01-0010,0.50
MASS-MODA,v2_cwt1d,5,01-01-0013,0.18
MASS-MODA,v2_cwt1d,5,01-01-0014,0.32
MASS-MODA,v2_cwt1d,5,01-05-0005,0.66
MASS-MODA,v2_cwt1d,5,01-05-0008,0.46
MASS-MODA,v2_cwt1d,5,01-05-0009,0.58
MASS-MODA,v2_cwt1d,6,01-01-0008,0.48
MASS-MODA,v2_cwt1d,6,01-01-0011,0.32
MASS-MODA,v2_cwt1d,6,01-01-0018,0.38
MASS-MODA,v2_cwt1d,6,01-05-0004,0.38
MASS-MODA,v2_cwt1d,6,01-05-0006,0.68
MASS-MODA,v2_cwt1d,6,01-05-0012,0.48
MASS-MODA,v2_cwt1d,7,01-01-0001,0.26
MASS-MODA,v2_cwt1d,7,01-01-0007,0.42
MASS-MODA,v2_cwt1d,7,01-01-0021,0.50
MASS-MODA,v2_cwt1d,7,01-05-0001,0.36
MASS-MODA,v2_cwt1d,7,01-05-0003,0.60
MASS-MODA,v2_cwt1d,7,01-05-0015,0.72
MASS-MODA,v2_cwt1d,8,01-01-0016,0.46
MASS-MODA,v2_cwt1d,8,01-01-0017,0.24
MASS-MODA,v2_cwt1d,8,01-05-0010,0.72
MASS-MODA,v2_cwt1d,8,01-05-0011,0.72
MASS-MODA,v2_cwt1d,8,01-05-0017,0.74
MASS-MODA,v2_cwt1d,9,01-01-0019,0.46
MASS-MODA,v2_cwt1d,9,01-01-0020,0.54
MASS-MODA,v2_cwt1d,9,01-05-0007,0.66
MASS-MODA,v2_cwt1d,9,01-05-0013,0.78
MASS-MODA,v2_cwt1d,9,01-05-0014,0.64
MASS-MODA,v2_cwt1d,10,01-01-0011,0.48
MASS-MODA,v2_cwt1d,10,01-01-0019,0.74
MASS-MODA,v2_cwt1d,10,01-05-0006,0.76
MASS-MODA,v2_cwt1d,10,01-05-0007,0.78
MASS-MODA,v2_cwt1d,10,01-05-0013,0.76
MASS-MODA,v2_cwt1d,11,01-01-0001,0.42
MASS-MODA,v2_cwt1d,11,01-01-0010,0.42
MASS-MODA,v2_cwt1d,11,01-01-0017,0.46
MASS-MODA,v2_cwt1d,11,01-05-0001,0.46
MASS-MODA,v2_cwt1d,11,01-05-0005,0.76
MASS-MODA,v2_cwt1d,11,01-05-0011,0.70
MASS-MODA,v2_cwt1d,12,01-01-0007,0.56
MASS-MODA,v2_cwt1d,12,01-01-0014,0.54
MASS-MODA,v2_cwt1d,12,01-01-0018,0.38
MASS-MODA,v2_cwt1d,12,01-05-0003,0.74
MASS-MODA,v2_cwt1d,12,01-05-0009,0.54
MASS-MODA,v2_cwt1d,12,01-05-0012,0.60
MASS-MODA,v2_cwt1d,13,01-01-0008,0.44
MASS-MODA,v2_cwt1d,13,01-01-0013,0.26
MASS-MODA,v2_cwt1d,13,01-01-0020,0.28
MASS-MODA,v2_cwt1d,13,01-05-0004,0.26
MASS-MODA,v2_cwt1d,13,01-05-0008,0.54
MASS-MODA,v2_cwt1d,13,01-05-0014,0.34
MASS-MODA,v2_cwt1d,14,01-01-0016,0.26
MASS-MODA,v2_cwt1d,14,01-01-0021,0.58
MASS-MODA,v2_cwt1d,14,01-05-0010,0.52
MASS-MODA,v2_cwt1d,14,01-05-0015,0.74
MASS-MODA,v2_cwt1d,14,01-05-0017,0.54
INTA-UCH,v2_time,0,3,0.40
INTA-UCH,v2_time,0,9,0.40
INTA-UCH,v2_time,1,5,0.28
INTA-UCH,v2_time,1,10,0.40
INTA-UCH,v2_time,2,2,0.44
INTA-UCH,v2_time,2,7,0.54
INTA-UCH,v2_time,3,4,0.52
INTA-UCH,v2_time,3,8,0.76
INTA-UCH,v2_time,4,1,0.62
INTA-UCH,v2_time,4,6,0.42
INTA-UCH,v2_time,5,3,0.46
INTA-UCH,v2_time,5,10,0.50
INTA-UCH,v2_time,6,5,0.34
INTA-UCH,v2_time,6,7,0.58
INTA-UCH,v2_time,7,1,0.62
INTA-UCH,v2_time,7,4,0.46
INTA-UCH,v2_time,8,2,0.52
INTA-UCH,v2_time,8,8,0.74
INTA-UCH,v2_time,9,6,0.52
INTA-UCH,v2_time,9,9,0.40
INTA-UCH,v2_time,10,2,0.56
INTA-UCH,v2_time,10,5,0.36
INTA-UCH,v2_time,11,1,0.70
INTA-UCH,v2_time,11,6,0.52
INTA-UCH,v2_time,12,3,0.42
INTA-UCH,v2_time,12,8,0.66
INTA-UCH,v2_time,13,4,0.44
INTA-UCH,v2_time,13,7,0.52
INTA-UCH,v2_time,14,9,0.30
INTA-UCH,v2_time,14,10,0.46
INTA-UCH,v2_cwt1d,0,3,0.38
INTA-UCH,v2_cwt1d,0,9,0.40
INTA-UCH,v2_cwt1d,1,5,0.30
INTA-UCH,v2_cwt1d,1,10,0.46
INTA-UCH,v2_cwt1d,2,2,0.48
INTA-UCH,v2_cwt1d,2,7,0.52
INTA-UCH,v2_cwt1d,3,4,0.50
INTA-UCH,v2_cwt1d,3,8,0.78
INTA-UCH,v2_cwt1d,4,1,0.68
INTA-UCH,v2_cwt1d,4,6,0.54
INTA-UCH,v2_cwt1d,5,3,0.38
INTA-UCH,v2_cwt1d,5,10,0.56
INTA-UCH,v2_cwt1d,6,5,0.30
INTA-UCH,v2_cwt1d,6,7,0.60
INTA-UCH,v2_cwt1d,7,1,0.56
INTA-UCH,v2_cwt1d,7,4,0.48
INTA-UCH,v2_cwt1d,8,2,0.60
INTA-UCH,v2_cwt1d,8,8,0.86
INTA-UCH,v2_cwt1d,9,6,0.52
INTA-UCH,v2_cwt1d,9,9,0.44
INTA-UCH,v2_cwt1d,10,2,0.52
INTA-UCH,v2_cwt1d,10,5,0.36
INTA-UCH,v2_cwt1d,11,1,0.66
INTA-UCH,v2_cwt1d,11,6,0.56
INTA-UCH,v2_cwt1d,12,3,0.38
INTA-UCH,v2_cwt1d,12,8,0.70
INTA-UCH,v2_cwt1d,13,4,0.46
INTA-UCH,v2_cwt1d,13,7,0.54
INTA-UCH,v2_cwt1d,14,9,0.42
INTA-UCH,v2_cwt1d,14,10,0.50
